created	updated	index_name	status	message	total	count	limit	offset	fields__name	fields__type	records__id	records__country	records__state	records__city	records__station	records__last_update	records__pollutant_id	records__pollutant_min	records__pollutant_max	records__pollutant_avg	records__pollutant_unit	version
1522250285	1524486785	3b01bcb8-0b14-4abf-b6f2-c1bfd384ba69	ok	Resource detail	627	627	all	0	id	keyword	1	India	Andhra_Pradesh	Amaravati	"Secretariat, Amaravati - APPCB"	23-04-2018 05:00:00	PM2.5	NA	NA	NA		2.0.0
									country	keyword	2	India	Andhra_Pradesh	Amaravati	"Secretariat, Amaravati - APPCB"	23-04-2018 05:00:00	PM10	NA	NA	NA		
									state	keyword	3	India	Andhra_Pradesh	Amaravati	"Secretariat, Amaravati - APPCB"	23-04-2018 05:00:00	NO2	NA	NA	NA		
									city	keyword	4	India	Andhra_Pradesh	Amaravati	"Secretariat, Amaravati - APPCB"	23-04-2018 05:00:00	NH3	NA	NA	NA		
									station	keyword	5	India	Andhra_Pradesh	Amaravati	"Secretariat, Amaravati - APPCB"	23-04-2018 05:00:00	OZONE	20	20	20		
									last_update	keyword	6	India	Andhra_Pradesh	Rajamahendravaram	"Anand Kala Kshetram, Rajamahendravaram - APPCB"	23-04-2018 05:00:00	PM2.5	NA	NA	NA		
									pollutant_id	keyword	7	India	Andhra_Pradesh	Rajamahendravaram	"Anand Kala Kshetram, Rajamahendravaram - APPCB"	23-04-2018 05:00:00	PM10	NA	NA	NA		
									pollutant_min	keyword	8	India	Andhra_Pradesh	Rajamahendravaram	"Anand Kala Kshetram, Rajamahendravaram - APPCB"	23-04-2018 05:00:00	NO2	NA	NA	NA		
									pollutant_max	keyword	9	India	Andhra_Pradesh	Rajamahendravaram	"Anand Kala Kshetram, Rajamahendravaram - APPCB"	23-04-2018 05:00:00	NH3	NA	NA	NA		
									pollutant_avg	keyword	10	India	Andhra_Pradesh	Rajamahendravaram	"Anand Kala Kshetram, Rajamahendravaram - APPCB"	23-04-2018 05:00:00	SO2	NA	NA	NA		
									pollutant_unit	keyword	11	India	Andhra_Pradesh	Rajamahendravaram	"Anand Kala Kshetram, Rajamahendravaram - APPCB"	23-04-2018 05:00:00	CO	NA	NA	NA		
											12	India	Andhra_Pradesh	Rajamahendravaram	"Anand Kala Kshetram, Rajamahendravaram - APPCB"	23-04-2018 05:00:00	OZONE	40	86	81		
											13	India	Andhra_Pradesh	Vijayawada	"PWD Grounds, Vijayawada - APPCB"	23-04-2018 05:00:00	PM10	NA	NA	NA		
											14	India	Andhra_Pradesh	Vijayawada	"PWD Grounds, Vijayawada - APPCB"	23-04-2018 05:00:00	NO2	NA	NA	NA		
											15	India	Andhra_Pradesh	Vijayawada	"PWD Grounds, Vijayawada - APPCB"	23-04-2018 05:00:00	NH3	NA	NA	NA		
											16	India	Andhra_Pradesh	Vijayawada	"PWD Grounds, Vijayawada - APPCB"	23-04-2018 05:00:00	SO2	NA	NA	NA		
											17	India	Andhra_Pradesh	Vijayawada	"PWD Grounds, Vijayawada - APPCB"	23-04-2018 05:00:00	CO	32	115	70		
											18	India	Andhra_Pradesh	Vijayawada	"PWD Grounds, Vijayawada - APPCB"	23-04-2018 05:00:00	OZONE	36	36	36		
											19	India	Andhra_Pradesh	Visakhapatnam	"GVM Corporation, Visakhapatnam - APPCB"	23-04-2018 05:00:00	PM2.5	NA	NA	NA		
											20	India	Andhra_Pradesh	Visakhapatnam	"GVM Corporation, Visakhapatnam - APPCB"	23-04-2018 05:00:00	PM10	NA	NA	NA		
											21	India	Andhra_Pradesh	Visakhapatnam	"GVM Corporation, Visakhapatnam - APPCB"	23-04-2018 05:00:00	NO2	NA	NA	NA		
											22	India	Andhra_Pradesh	Visakhapatnam	"GVM Corporation, Visakhapatnam - APPCB"	23-04-2018 05:00:00	NH3	NA	NA	NA		
											23	India	Andhra_Pradesh	Visakhapatnam	"GVM Corporation, Visakhapatnam - APPCB"	23-04-2018 05:00:00	SO2	NA	NA	NA		
											24	India	Andhra_Pradesh	Visakhapatnam	"GVM Corporation, Visakhapatnam - APPCB"	23-04-2018 05:00:00	CO	8	34	22		
											25	India	Andhra_Pradesh	Visakhapatnam	"GVM Corporation, Visakhapatnam - APPCB"	23-04-2018 05:00:00	OZONE	3	19	10		
											26	India	Bihar	Gaya	"Collectorate, Gaya - BSPCB"	23-04-2018 05:00:00	PM2.5	NA	NA	NA		
											27	India	Bihar	Gaya	"Collectorate, Gaya - BSPCB"	23-04-2018 05:00:00	NO2	NA	NA	NA		
											28	India	Bihar	Gaya	"Collectorate, Gaya - BSPCB"	23-04-2018 05:00:00	SO2	NA	NA	NA		
											29	India	Bihar	Gaya	"Collectorate, Gaya - BSPCB"	23-04-2018 05:00:00	CO	NA	NA	NA		
											30	India	Bihar	Gaya	"Collectorate, Gaya - BSPCB"	23-04-2018 05:00:00	OZONE	NA	NA	NA		
											31	India	Bihar	Muzaffarpur	"Muzaffarpur Collectorate,Muzaffarpur - BSPCB"	23-04-2018 05:00:00	PM2.5	48	303	156		
											32	India	Bihar	Muzaffarpur	"Muzaffarpur Collectorate,Muzaffarpur - BSPCB"	23-04-2018 05:00:00	NO2	33	117	75		
											33	India	Bihar	Muzaffarpur	"Muzaffarpur Collectorate,Muzaffarpur - BSPCB"	23-04-2018 05:00:00	SO2	11	123	86		
											34	India	Bihar	Muzaffarpur	"Muzaffarpur Collectorate,Muzaffarpur - BSPCB"	23-04-2018 05:00:00	CO	38	62	49		
											35	India	Bihar	Muzaffarpur	"Muzaffarpur Collectorate,Muzaffarpur - BSPCB"	23-04-2018 05:00:00	OZONE	14	215	215		
											36	India	Bihar	Patna	"IGSC Planetarium Complex, Patna - BSPCB"	23-04-2018 05:00:00	PM2.5	62	261	166		
											37	India	Bihar	Patna	"IGSC Planetarium Complex, Patna - BSPCB"	23-04-2018 05:00:00	NO2	5	17	12		
											38	India	Bihar	Patna	"IGSC Planetarium Complex, Patna - BSPCB"	23-04-2018 05:00:00	SO2	46	85	61		
											39	India	Bihar	Patna	"IGSC Planetarium Complex, Patna - BSPCB"	23-04-2018 05:00:00	CO	25	86	49		
											40	India	Bihar	Patna	"IGSC Planetarium Complex, Patna - BSPCB"	23-04-2018 05:00:00	OZONE	17	206	157		
											41	India	Delhi	Delhi	"Anand Vihar, Delhi - DPCC"	23-04-2018 05:00:00	PM2.5	NA	NA	NA		
											42	India	Delhi	Delhi	"Anand Vihar, Delhi - DPCC"	23-04-2018 05:00:00	PM10	NA	NA	NA		
											43	India	Delhi	Delhi	"Anand Vihar, Delhi - DPCC"	23-04-2018 05:00:00	NO2	NA	NA	NA		
											44	India	Delhi	Delhi	"Anand Vihar, Delhi - DPCC"	23-04-2018 05:00:00	NH3	NA	NA	NA		
											45	India	Delhi	Delhi	"Anand Vihar, Delhi - DPCC"	23-04-2018 05:00:00	SO2	NA	NA	NA		
											46	India	Delhi	Delhi	"Anand Vihar, Delhi - DPCC"	23-04-2018 05:00:00	CO	28	141	66		
											47	India	Delhi	Delhi	"Anand Vihar, Delhi - DPCC"	23-04-2018 05:00:00	OZONE	9	92	80		
											48	India	Delhi	Delhi	"Ashok Vihar, Delhi - DPCC"	23-04-2018 05:00:00	PM2.5	NA	NA	NA		
											49	India	Delhi	Delhi	"Ashok Vihar, Delhi - DPCC"	23-04-2018 05:00:00	PM10	NA	NA	NA		
											50	India	Delhi	Delhi	"Ashok Vihar, Delhi - DPCC"	23-04-2018 05:00:00	NO2	NA	NA	NA		
											51	India	Delhi	Delhi	"Ashok Vihar, Delhi - DPCC"	23-04-2018 05:00:00	NH3	NA	NA	NA		
											52	India	Delhi	Delhi	"Ashok Vihar, Delhi - DPCC"	23-04-2018 05:00:00	SO2	NA	NA	NA		
											53	India	Delhi	Delhi	"Ashok Vihar, Delhi - DPCC"	23-04-2018 05:00:00	CO	8	45	12		
											54	India	Delhi	Delhi	"Ashok Vihar, Delhi - DPCC"	23-04-2018 05:00:00	OZONE	7	152	126		
											55	India	Delhi	Delhi	"Aya Nagar, New Delhi - IMD"	23-04-2018 05:00:00	PM2.5	NA	NA	NA		
											56	India	Delhi	Delhi	"Aya Nagar, New Delhi - IMD"	23-04-2018 05:00:00	PM10	93	168	137		
											57	India	Delhi	Delhi	"Aya Nagar, New Delhi - IMD"	23-04-2018 05:00:00	NO2	19	21	20		
											58	India	Delhi	Delhi	"Aya Nagar, New Delhi - IMD"	23-04-2018 05:00:00	CO	14	54	30		
											59	India	Delhi	Delhi	"Aya Nagar, New Delhi - IMD"	23-04-2018 05:00:00	OZONE	77	95	90		
											60	India	Delhi	Delhi	"Burari Crossing, New Delhi - IMD"	23-04-2018 05:00:00	PM2.5	47	344	140		
											61	India	Delhi	Delhi	"Burari Crossing, New Delhi - IMD"	23-04-2018 05:00:00	NO2	32	63	45		
											62	India	Delhi	Delhi	"Burari Crossing, New Delhi - IMD"	23-04-2018 05:00:00	CO	33	78	36		
											63	India	Delhi	Delhi	"Burari Crossing, New Delhi - IMD"	23-04-2018 05:00:00	OZONE	25	72	52		
											64	India	Delhi	Delhi	"CRRI Mathura Road, New Delhi - IMD"	23-04-2018 05:00:00	PM2.5	180	327	241		
											65	India	Delhi	Delhi	"CRRI Mathura Road, New Delhi - IMD"	23-04-2018 05:00:00	PM10	128	215	166		
											66	India	Delhi	Delhi	"CRRI Mathura Road, New Delhi - IMD"	23-04-2018 05:00:00	NO2	31	46	38		
											67	India	Delhi	Delhi	"CRRI Mathura Road, New Delhi - IMD"	23-04-2018 05:00:00	CO	40	103	47		
											68	India	Delhi	Delhi	"CRRI Mathura Road, New Delhi - IMD"	23-04-2018 05:00:00	OZONE	16	42	35		
											69	India	Delhi	Delhi	"DTU, New Delhi - CPCB"	23-04-2018 05:00:00	PM2.5	33	305	125		
											70	India	Delhi	Delhi	"DTU, New Delhi - CPCB"	23-04-2018 05:00:00	PM10	137	303	197		
											71	India	Delhi	Delhi	"DTU, New Delhi - CPCB"	23-04-2018 05:00:00	NO2	1	9	4		
											72	India	Delhi	Delhi	"DTU, New Delhi - CPCB"	23-04-2018 05:00:00	NH3	5	9	7		
											73	India	Delhi	Delhi	"DTU, New Delhi - CPCB"	23-04-2018 05:00:00	CO	124	172	134		
											74	India	Delhi	Delhi	"DTU, New Delhi - CPCB"	23-04-2018 05:00:00	OZONE	5	10	8		
											75	India	Delhi	Delhi	"Dr. Karni Singh Shooting Range, Delhi - DPCC"	23-04-2018 05:00:00	PM2.5	NA	NA	NA		
											76	India	Delhi	Delhi	"Dr. Karni Singh Shooting Range, Delhi - DPCC"	23-04-2018 05:00:00	PM10	NA	NA	NA		
											77	India	Delhi	Delhi	"Dr. Karni Singh Shooting Range, Delhi - DPCC"	23-04-2018 05:00:00	NO2	NA	NA	NA		
											78	India	Delhi	Delhi	"Dr. Karni Singh Shooting Range, Delhi - DPCC"	23-04-2018 05:00:00	NH3	NA	NA	NA		
											79	India	Delhi	Delhi	"Dr. Karni Singh Shooting Range, Delhi - DPCC"	23-04-2018 05:00:00	SO2	NA	NA	NA		
											80	India	Delhi	Delhi	"Dr. Karni Singh Shooting Range, Delhi - DPCC"	23-04-2018 05:00:00	CO	28	95	34		
											81	India	Delhi	Delhi	"Dr. Karni Singh Shooting Range, Delhi - DPCC"	23-04-2018 05:00:00	OZONE	2	265	192		
											82	India	Delhi	Delhi	"Dwarka-Sector 8, Delhi - DPCC "	23-04-2018 05:00:00	PM2.5	NA	NA	NA		
											83	India	Delhi	Delhi	"Dwarka-Sector 8, Delhi - DPCC "	23-04-2018 05:00:00	PM10	NA	NA	NA		
											84	India	Delhi	Delhi	"Dwarka-Sector 8, Delhi - DPCC "	23-04-2018 05:00:00	NO2	NA	NA	NA		
											85	India	Delhi	Delhi	"Dwarka-Sector 8, Delhi - DPCC "	23-04-2018 05:00:00	NH3	NA	NA	NA		
											86	India	Delhi	Delhi	"Dwarka-Sector 8, Delhi - DPCC "	23-04-2018 05:00:00	SO2	NA	NA	NA		
											87	India	Delhi	Delhi	"Dwarka-Sector 8, Delhi - DPCC "	23-04-2018 05:00:00	CO	15	52	32		
											88	India	Delhi	Delhi	"Dwarka-Sector 8, Delhi - DPCC "	23-04-2018 05:00:00	OZONE	35	161	142		
											89	India	Delhi	Delhi	"IGI Airport Terminal - 3, New Delhi - IMD"	23-04-2018 05:00:00	PM2.5	4	192	83		
											90	India	Delhi	Delhi	"IGI Airport Terminal - 3, New Delhi - IMD"	23-04-2018 05:00:00	PM10	72	190	132		
											91	India	Delhi	Delhi	"IGI Airport Terminal - 3, New Delhi - IMD"	23-04-2018 05:00:00	NO2	42	68	56		
											92	India	Delhi	Delhi	"IGI Airport Terminal - 3, New Delhi - IMD"	23-04-2018 05:00:00	CO	35	46	40		
											93	India	Delhi	Delhi	"IGI Airport Terminal - 3, New Delhi - IMD"	23-04-2018 05:00:00	OZONE	26	60	55		
											94	India	Delhi	Delhi	"IHBAS, Dilshad Garden,New Delhi - CPCB"	23-04-2018 05:00:00	PM2.5	65	275	142		
											95	India	Delhi	Delhi	"IHBAS, Dilshad Garden,New Delhi - CPCB"	23-04-2018 05:00:00	NO2	23	132	56		
											96	India	Delhi	Delhi	"IHBAS, Dilshad Garden,New Delhi - CPCB"	23-04-2018 05:00:00	NH3	7	16	10		
											97	India	Delhi	Delhi	"IHBAS, Dilshad Garden,New Delhi - CPCB"	23-04-2018 05:00:00	SO2	2	32	17		
											98	India	Delhi	Delhi	"IHBAS, Dilshad Garden,New Delhi - CPCB"	23-04-2018 05:00:00	CO	2	110	37		
											99	India	Delhi	Delhi	"Jahangirpuri, Delhi - DPCC"	23-04-2018 05:00:00	PM2.5	NA	NA	NA		
											100	India	Delhi	Delhi	"Jahangirpuri, Delhi - DPCC"	23-04-2018 05:00:00	PM10	NA	NA	NA		
											101	India	Delhi	Delhi	"Jahangirpuri, Delhi - DPCC"	23-04-2018 05:00:00	NO2	NA	NA	NA		
											102	India	Delhi	Delhi	"Jahangirpuri, Delhi - DPCC"	23-04-2018 05:00:00	NH3	NA	NA	NA		
											103	India	Delhi	Delhi	"Jahangirpuri, Delhi - DPCC"	23-04-2018 05:00:00	SO2	NA	NA	NA		
											104	India	Delhi	Delhi	"Jahangirpuri, Delhi - DPCC"	23-04-2018 05:00:00	CO	25	101	40		
											105	India	Delhi	Delhi	"Jahangirpuri, Delhi - DPCC"	23-04-2018 05:00:00	OZONE	19	84	74		
											106	India	Delhi	Delhi	"Jawaharlal Nehru Stadium, Delhi - DPCC"	23-04-2018 05:00:00	PM2.5	NA	NA	NA		
											107	India	Delhi	Delhi	"Jawaharlal Nehru Stadium, Delhi - DPCC"	23-04-2018 05:00:00	PM10	NA	NA	NA		
											108	India	Delhi	Delhi	"Jawaharlal Nehru Stadium, Delhi - DPCC"	23-04-2018 05:00:00	NO2	NA	NA	NA		
											109	India	Delhi	Delhi	"Jawaharlal Nehru Stadium, Delhi - DPCC"	23-04-2018 05:00:00	NH3	NA	NA	NA		
											110	India	Delhi	Delhi	"Jawaharlal Nehru Stadium, Delhi - DPCC"	23-04-2018 05:00:00	SO2	NA	NA	NA		
											111	India	Delhi	Delhi	"Jawaharlal Nehru Stadium, Delhi - DPCC"	23-04-2018 05:00:00	CO	22	94	27		
											112	India	Delhi	Delhi	"Jawaharlal Nehru Stadium, Delhi - DPCC"	23-04-2018 05:00:00	OZONE	2	218	153		
											113	India	Delhi	Delhi	"Major Dhyan Chand National Stadium, Delhi - DPCC"	23-04-2018 05:00:00	PM2.5	NA	NA	NA		
											114	India	Delhi	Delhi	"Major Dhyan Chand National Stadium, Delhi - DPCC"	23-04-2018 05:00:00	PM10	NA	NA	NA		
											115	India	Delhi	Delhi	"Major Dhyan Chand National Stadium, Delhi - DPCC"	23-04-2018 05:00:00	NO2	NA	NA	NA		
											116	India	Delhi	Delhi	"Major Dhyan Chand National Stadium, Delhi - DPCC"	23-04-2018 05:00:00	NH3	NA	NA	NA		
											117	India	Delhi	Delhi	"Major Dhyan Chand National Stadium, Delhi - DPCC"	23-04-2018 05:00:00	SO2	NA	NA	NA		
											118	India	Delhi	Delhi	"Major Dhyan Chand National Stadium, Delhi - DPCC"	23-04-2018 05:00:00	CO	20	80	24		
											119	India	Delhi	Delhi	"Major Dhyan Chand National Stadium, Delhi - DPCC"	23-04-2018 05:00:00	OZONE	4	119	105		
											120	India	Delhi	Delhi	"Mandir Marg, New Delhi - DPCC"	23-04-2018 05:00:00	PM2.5	NA	NA	NA		
											121	India	Delhi	Delhi	"Mandir Marg, New Delhi - DPCC"	23-04-2018 05:00:00	PM10	NA	NA	NA		
											122	India	Delhi	Delhi	"Mandir Marg, New Delhi - DPCC"	23-04-2018 05:00:00	NO2	NA	NA	NA		
											123	India	Delhi	Delhi	"Mandir Marg, New Delhi - DPCC"	23-04-2018 05:00:00	NH3	NA	NA	NA		
											124	India	Delhi	Delhi	"Mandir Marg, New Delhi - DPCC"	23-04-2018 05:00:00	SO2	NA	NA	NA		
											125	India	Delhi	Delhi	"Mandir Marg, New Delhi - DPCC"	23-04-2018 05:00:00	CO	1	46	13		
											126	India	Delhi	Delhi	"Mandir Marg, New Delhi - DPCC"	23-04-2018 05:00:00	OZONE	20	75	68		
											127	India	Delhi	Delhi	"NSIT Dwarka, New Delhi - CPCB"	23-04-2018 05:00:00	PM2.5	143	314	246		
											128	India	Delhi	Delhi	"NSIT Dwarka, New Delhi - CPCB"	23-04-2018 05:00:00	NO2	28	84	45		
											129	India	Delhi	Delhi	"NSIT Dwarka, New Delhi - CPCB"	23-04-2018 05:00:00	SO2	2	28	12		
											130	India	Delhi	Delhi	"NSIT Dwarka, New Delhi - CPCB"	23-04-2018 05:00:00	CO	6	28	15		
											131	India	Delhi	Delhi	"NSIT Dwarka, New Delhi - CPCB"	23-04-2018 05:00:00	OZONE	17	72	63		
											132	India	Delhi	Delhi	"Najafgarh, Delhi - DPCC"	23-04-2018 05:00:00	PM2.5	NA	NA	NA		
											133	India	Delhi	Delhi	"Najafgarh, Delhi - DPCC"	23-04-2018 05:00:00	PM10	NA	NA	NA		
											134	India	Delhi	Delhi	"Najafgarh, Delhi - DPCC"	23-04-2018 05:00:00	NO2	NA	NA	NA		
											135	India	Delhi	Delhi	"Najafgarh, Delhi - DPCC"	23-04-2018 05:00:00	NH3	NA	NA	NA		
											136	India	Delhi	Delhi	"Najafgarh, Delhi - DPCC"	23-04-2018 05:00:00	SO2	NA	NA	NA		
											137	India	Delhi	Delhi	"Najafgarh, Delhi - DPCC"	23-04-2018 05:00:00	CO	28	176	92		
											138	India	Delhi	Delhi	"Najafgarh, Delhi - DPCC"	23-04-2018 05:00:00	OZONE	151	264	251		
											139	India	Delhi	Delhi	"Narela, Delhi - DPCC"	23-04-2018 05:00:00	PM2.5	NA	NA	NA		
											140	India	Delhi	Delhi	"Narela, Delhi - DPCC"	23-04-2018 05:00:00	PM10	NA	NA	NA		
											141	India	Delhi	Delhi	"Narela, Delhi - DPCC"	23-04-2018 05:00:00	NO2	NA	NA	NA		
											142	India	Delhi	Delhi	"Narela, Delhi - DPCC"	23-04-2018 05:00:00	NH3	NA	NA	NA		
											143	India	Delhi	Delhi	"Narela, Delhi - DPCC"	23-04-2018 05:00:00	SO2	NA	NA	NA		
											144	India	Delhi	Delhi	"Narela, Delhi - DPCC"	23-04-2018 05:00:00	CO	10	35	14		
											145	India	Delhi	Delhi	"Narela, Delhi - DPCC"	23-04-2018 05:00:00	OZONE	49	170	158		
											146	India	Delhi	Delhi	"Nehru Nagar, Delhi - DPCC"	23-04-2018 05:00:00	PM2.5	NA	NA	NA		
											147	India	Delhi	Delhi	"Nehru Nagar, Delhi - DPCC"	23-04-2018 05:00:00	PM10	NA	NA	NA		
											148	India	Delhi	Delhi	"Nehru Nagar, Delhi - DPCC"	23-04-2018 05:00:00	NO2	NA	NA	NA		
											149	India	Delhi	Delhi	"Nehru Nagar, Delhi - DPCC"	23-04-2018 05:00:00	NH3	NA	NA	NA		
											150	India	Delhi	Delhi	"Nehru Nagar, Delhi - DPCC"	23-04-2018 05:00:00	SO2	NA	NA	NA		
											151	India	Delhi	Delhi	"Nehru Nagar, Delhi - DPCC"	23-04-2018 05:00:00	CO	3	60	7		
											152	India	Delhi	Delhi	"Nehru Nagar, Delhi - DPCC"	23-04-2018 05:00:00	OZONE	2	180	156		
											153	India	Delhi	Delhi	"Okhla Phase-2, Delhi - DPCC"	23-04-2018 05:00:00	PM2.5	NA	NA	NA		
											154	India	Delhi	Delhi	"Okhla Phase-2, Delhi - DPCC"	23-04-2018 05:00:00	PM10	NA	NA	NA		
											155	India	Delhi	Delhi	"Okhla Phase-2, Delhi - DPCC"	23-04-2018 05:00:00	NO2	NA	NA	NA		
											156	India	Delhi	Delhi	"Okhla Phase-2, Delhi - DPCC"	23-04-2018 05:00:00	NH3	NA	NA	NA		
